Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario
Impermeabili,"September 19, 2024",65 Trapuntato (https://www.notion.so/65-Trapuntato-115f56f3c32b801490a7edf4c9cbcd8a?pvs=21),Fucsia,2XL,Impermeabili,Donna,Abbadia San Salvatore,No,,65,39.95,25.05,1.598,
Impermeabili,"September 19, 2024",65 Trapuntato (https://www.notion.so/65-Trapuntato-115f56f3c32b801490a7edf4c9cbcd8a?pvs=21),Fucsia,M,Impermeabili,Donna,Abbadia San Salvatore,No,,65,39.95,25.05,1.598,
Impermeabili,"September 19, 2024",85 Peso (https://www.notion.so/85-Peso-115f56f3c32b8018b72bf77aa5407c14?pvs=21),Nero,L,Impermeabili,Donna,Abbadia San Salvatore,No,,85,47.55,37.45,1.698214285714,
Impermeabili,"September 19, 2024",65 Trapuntato (https://www.notion.so/65-Trapuntato-115f56f3c32b801490a7edf4c9cbcd8a?pvs=21),Bianco,2XL,Impermeabili,Donna,Abbadia San Salvatore,No,,65,39.95,25.05,1.598,
Impermeabili,"September 19, 2024",65 Trapuntato 2 (https://www.notion.so/65-Trapuntato-2-115f56f3c32b809788e4c73f479165b9?pvs=21),Verde,L,Impermeabili,Donna,Abbadia San Salvatore,No,,65,39.95,25.05,1.598,
Impermeabili,"September 19, 2024",65 Trapuntato (https://www.notion.so/65-Trapuntato-115f56f3c32b801490a7edf4c9cbcd8a?pvs=21),Verde,S,Impermeabili,Donna,Abbadia San Salvatore,No,,65,39.95,25.05,1.598,
Impermeabili,"September 19, 2024",75 Over (https://www.notion.so/75-Over-115f56f3c32b809e9b68f31eb98c469a?pvs=21),Bianco,L,Impermeabili,Donna,Abbadia San Salvatore,No,,75,41.25,33.75,1.71875,
Impermeabili,"September 19, 2024",75 Slim (https://www.notion.so/75-Slim-115f56f3c32b80d6833fca946b0c068d?pvs=21),Verde,XL,Impermeabili,Donna,Abbadia San Salvatore,No,,75,42.25,32.75,1.69,
Impermeabili,"September 19, 2024",85 Peso (https://www.notion.so/85-Peso-115f56f3c32b8018b72bf77aa5407c14?pvs=21),Nero,XL,Impermeabili,Donna,Abbadia San Salvatore,No,,85,47.55,37.45,1.698214285714,
Impermeabili,"September 19, 2024",85 Peso (https://www.notion.so/85-Peso-115f56f3c32b8018b72bf77aa5407c14?pvs=21),Verde,L,Impermeabili,Donna,Abbadia San Salvatore,No,,85,47.55,37.45,1.698214285714,
Impermeabili,"September 19, 2024",65 Dritto-Lungo (https://www.notion.so/65-Dritto-Lungo-115f56f3c32b80c79ba1cecdafadc402?pvs=21),Bianco,L,Impermeabili,Donna,Abbadia San Salvatore,No,,65,29.95,35.05,1.996666666667,
Impermeabili,"September 19, 2024",75 Slim (https://www.notion.so/75-Slim-115f56f3c32b80d6833fca946b0c068d?pvs=21),Nero,M,Impermeabili,Donna,Abbadia San Salvatore,No,,75,42.25,32.75,1.69,
Impermeabili,"September 19, 2024",65 Trapuntato (https://www.notion.so/65-Trapuntato-115f56f3c32b801490a7edf4c9cbcd8a?pvs=21),Tortora,M,Impermeabili,Donna,Abbadia San Salvatore,No,,65,39.95,25.05,1.598,
Impermeabili,"September 19, 2024",85 Peso (https://www.notion.so/85-Peso-115f56f3c32b8018b72bf77aa5407c14?pvs=21),Verde,XL,Impermeabili,Donna,Abbadia San Salvatore,No,,85,47.55,37.45,1.698214285714,
100g,"September 19, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Celeste,L,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,
100g,"September 19, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Pistacchio,L,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,
100g,"September 19, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Nero,3XL,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,
100g,"September 19, 2024",Trapezio 3/4 (https://www.notion.so/Trapezio-3-4-115f56f3c32b80a09c1cf19a7e3a427f?pvs=21),Celeste,56,100G,Donna,Abbadia San Salvatore,No,,45,28.35,16.65,1.575,
100g,"September 19, 2024",Uomo Easy (https://www.notion.so/Uomo-Easy-115f56f3c32b8023a932cce9ee960e0c?pvs=21),Nero,M,100G,Uomo,Abbadia San Salvatore,No,,35,13.05,21.95,2.61,
100g,"September 19, 2024",Uomo Easy CF (https://www.notion.so/Uomo-Easy-CF-115f56f3c32b8013bcade13091e5b47b?pvs=21),Nero,3XL,100G,Uomo,Abbadia San Salvatore,No,,35,13.05,21.95,2.61,
100g,"September 19, 2024",Stock (https://www.notion.so/Stock-115f56f3c32b803aa8fcc14ce3dd80aa?pvs=21),Bluette,48,100G,Donna,Abbadia San Salvatore,No,,35,18.05,16.95,1.805,
100g,"September 19, 2024",Easy CS (https://www.notion.so/Easy-CS-115f56f3c32b806dbea2cdebb1d33477?pvs=21),Blu,XL,100G,Donna,Abbadia San Salvatore,No,,35,23.05,11.95,1.536666666667,
100g,"September 19, 2024",Calibrato (https://www.notion.so/Calibrato-115f56f3c32b803fb958f0f85467c4ab?pvs=21),Beige,49,100G,Donna,Abbadia San Salvatore,No,,55,32.65,22.35,1.6325,
100g,"September 19, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Celeste,L,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,
100g,"September 19, 2024",Fly Special 55 (https://www.notion.so/Fly-Special-55-115f56f3c32b808789a0f28811e06cf9?pvs=21),Tortora,M,100G,Donna,Abbadia San Salvatore,No,,55,32.65,22.35,1.6325,
100g,"September 19, 2024",Fly Rush (https://www.notion.so/Fly-Rush-115f56f3c32b80afb634cb94d88db3ab?pvs=21),Celeste,S,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,
100g,"September 19, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Nero,XL,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,
100g,"September 19, 2024",Calibrato (https://www.notion.so/Calibrato-115f56f3c32b803fb958f0f85467c4ab?pvs=21),Beige,53,100G,Donna,Abbadia San Salvatore,No,,55,32.65,22.35,1.6325,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,L,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Verde Acido,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,35,23.55,11.45,1.51935483871,
Spolverini,"September 19, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Beige,L,Spolverini,Donna,Abbadia San Salvatore,No,,35,23.55,11.45,1.51935483871,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,S,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Verde,56,Spolverini,Uomo,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Nero,L,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Bianco,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Gilet,"September 19, 2024",Gilet CS (https://www.notion.so/Gilet-CS-194026f80de84746ab097ff8b1bd4a21?pvs=21),Beige,XL,Gilet,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
